0,800+ upGrad learners make a successful career transition,"According to Forbes, AI will see 50 million new jobs by 2022. To enable professionals to transition into Machine Learning and AI, upGrad with IIIT-Bangalore offers a 11-month PG Diploma in Machine Learning & AI that includes 15+ case studies and 360-degree career support. Over 800 upGrad learners have made career transitions with salary hikes as high as 230%.",upGrad,https://www.upgrad.com/machine-learning-and-artificial-intelligence?utm_source=newsinshorts&utm_medium=paid_pr&utm_campaign=ML_newsinshorts_pair_pr_25july19&utm_term=50millionjobs
1,'Blade Runner' actor Rutger Hauer passes away at 75,"Hollywood actor Rutger Hauer, best known for his role in the 1982 film 'Blade Runner', passed away on July 19 aged 75 in the Netherlands after suffering from a brief illness. Dutch media said Hauer was buried at a private ceremony. Hauer had also starred in films including 'Nighthawks', 'Dracula 3D' and 'Batman Begins'.",Times Now,https://www.timesnownews.com/entertainment/news/international-news/article/blade-runner-star-rutger-hauer-passes-away-at/458695?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
2,Andy Murray to team up with brother Jamie at Washington Open,"British tennis player Andy Murray will team up with his brother Jamie at Washington Open, reuniting the pairing that helped Great Britain win Davis Cup in 2015. Andy, who underwent hip surgery in January, made a victorious return to professional tennis in June, winning the doubles at Queen’s with Spain’s Feliciano Lopez. Washington Open starts on July 27.",Hindustan Times,https://www.hindustantimes.com/tennis/andy-murray-to-team-up-with-brother-jamie-at-washington-open/story-rq1WoDjUhhylArUDAWW8FL.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
3,Sri Lankan fast bowler Kulasekara retires from international cricket,"Sri Lankan fast bowler Nuwan Kulasekara has announced his retirement from international cricket. The 37-year-old former world number one ODI bowler, will finish as Sri Lanka's fifth-highest ODI wicket-taker with 199 wickets in 184 matches. Kulasekara, who had made his ODI debut in 2003, had last played an ODI in 2017. He also played 21 Tests and 58 T20Is.",ICC,https://www.icc-cricket.com/news/1292393?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
4,This is ghar wapsi: BJP MLA after voting in favour of MP govt,"After BJP MLAs Narayan Tripathi and Sharad Kaul voted in favour of a legislation backed by the Congress government in Madhya Pradesh Assembly, Tripathi said, ""This is my ghar wapsi (homecoming)."" Both the BJP MLAs are former Congress leaders. This comes after BJP MLA Gopal Bhargava said the Congress government won't last 24 hours if BJP's top leadership ordered so.",Hindustan Times,https://www.hindustantimes.com/india-news/in-madhya-pradesh-2-bjp-lawmakers-vote-for-kamal-nath-govt-s-bill/story-t2f14YgVIjl17q2FMdSX5N.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
5,"Doctors remove 1.5 kg jewellery, 90 coins from woman's stomach in WB","Over 1.5 kg jewellery and coins were removed from a 26-year-old mentally unstable woman's stomach at a government hospital in West Bengal's Rampurhat on Wednesday, a doctor said. Around 90 coins of ₹5 and ₹10 denominations and ornaments like chains, earrings, bangles, and watches were found in her stomach. The ornaments were mostly made of copper and brass, he added.",Times Now,https://www.timesnownews.com/the-buzz/article/belly-locker-1-5-kg-jewellery-and-coins-removed-from-woman-s-stomach-in-bengal/458768?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7,"Rajiv Gandhi's killer, in jail for 28 years, gets a month's parole","Nalini Sriharan, a life convict in the Rajiv Gandhi assassination case, has been released on a month's parole to make arrangements for her daughter's wedding. During the term of her parole, she cannot speak to politicians or media. Sriharan, who was granted a 12-hour parole in 2016 for her father's funeral, has been in jail for 28 years.",ANI,https://indianexpress.com/article/india/nalini-parole-rajiv-gandhi-assassination-case-5850087/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
8,Priti Patel becomes Britain's 1st Indian-origin Home Secretary,"Priti Patel on Wednesday took charge as Britain's first Indian-origin Home Secretary in the newly unveiled Boris Johnson-led Cabinet. The 47-year-old has replaced Pakistani-origin Sajid Javid, who has been moved to the Treasury department as the first ethnic minority Chancellor of the Exchequer. Patel previously served as Secretary of State for International Development, but was forced to resign in 2017.",The Financial Express,https://www.financialexpress.com/world-news/priti-patel-takes-charge-as-britains-first-indian-origin-home-secretary/1655596/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
9,India may launch $10-billion global bond sale in October,"India is reportedly considering an option to raise $10 billion in one go from its first overseas bond sale in October. The government would prefer to sell yen or euro-denominated debt so as to offer lower yields, reports added. Former RBI Governor Raghuram Rajan recently warned that India's plan to issue bonds overseas has enormous risks but no real benefit.",Livemint,https://www.livemint.com/news/india/govt-may-launch-10-billion-global-bond-sale-in-october-1563971300274.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
10,Atanu Chakraborty replaces SC Garg as Economic Affairs Secretary,"The government has appointed Atanu Chakraborty as the new Economic Affairs Secretary replacing Subhash Chandra Garg, who will be the new Power Secretary. Chakraborty, a 1985 batch Gujarat cadre IAS officer, was the Secretary, Department of Investment and Public Asset Management (DIPAM). Anil Kumar Khachi will take over from Chakraborty as the secretary in charge of the disinvestment department.",Livemint,https://www.livemint.com/news/india/atanu-chakraborty-is-new-economic-affairs-secretary-garg-appointed-power-secy-1563979768943.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
